2017 Oct 11 16:57:47 [9] INFO  - Dates,Mean Reversion 
2017 Oct 11 16:57:49 [9] INFO  - 2/1/2007 12:00:00 AM,0.0032
2017 Oct 11 16:57:49 [9] INFO  - 2/2/2007 12:00:00 AM,-0.00563
2017 Oct 11 16:57:49 [9] INFO  - 2/5/2007 12:00:00 AM,0.00201
2017 Oct 11 16:57:49 [9] INFO  - 2/6/2007 12:00:00 AM,-0.00168
2017 Oct 11 16:57:49 [9] INFO  - 2/7/2007 12:00:00 AM,0.00063
2017 Oct 11 16:57:49 [9] INFO  - 2/8/2007 12:00:00 AM,-0.0007
2017 Oct 11 16:57:49 [9] INFO  - 2/9/2007 12:00:00 AM,0.00222
2017 Oct 11 16:57:49 [9] INFO  - 2/12/2007 12:00:00 AM,0.00356
2017 Oct 11 16:57:49 [9] INFO  - 2/13/2007 12:00:00 AM,-0.00418
2017 Oct 11 16:57:49 [9] INFO  - 2/14/2007 12:00:00 AM,0.00061
2017 Oct 11 16:57:49 [9] INFO  - 2/15/2007 12:00:00 AM,0.00017
2017 Oct 11 16:57:49 [9] INFO  - 2/16/2007 12:00:00 AM,0.00081
2017 Oct 11 16:57:49 [9] INFO  - 2/20/2007 12:00:00 AM,0.00155
2017 Oct 11 16:57:49 [9] INFO  - 2/21/2007 12:00:00 AM,-0.00031
2017 Oct 11 16:57:49 [9] INFO  - 2/22/2007 12:00:00 AM,0.00016
2017 Oct 11 16:57:49 [9] INFO  - 2/23/2007 12:00:00 AM,-0.00087
2017 Oct 11 16:57:49 [9] INFO  - 2/26/2007 12:00:00 AM,0.00032
2017 Oct 11 16:57:49 [9] INFO  - 2/27/2007 12:00:00 AM,0.00725
2017 Oct 11 16:57:49 [9] INFO  - 2/28/2007 12:00:00 AM,0.00107
2017 Oct 11 16:57:49 [9] INFO  - 3/1/2007 12:00:00 AM,-0.00097
2017 Oct 11 16:57:49 [9] INFO  - 3/2/2007 12:00:00 AM,0.0054
2017 Oct 11 16:57:49 [9] INFO  - 3/5/2007 12:00:00 AM,0.00548
2017 Oct 11 16:57:49 [9] INFO  - 3/6/2007 12:00:00 AM,-0.00185
2017 Oct 11 16:57:49 [9] INFO  - 3/7/2007 12:00:00 AM,-0.00055
2017 Oct 11 16:57:49 [9] INFO  - 3/8/2007 12:00:00 AM,-0.00118
2017 Oct 11 16:57:49 [9] INFO  - 3/9/2007 12:00:00 AM,-0.00191
2017 Oct 11 16:57:49 [9] INFO  - 3/12/2007 12:00:00 AM,-0.00557
2017 Oct 11 16:57:49 [9] INFO  - 3/13/2007 12:00:00 AM,-0.005
2017 Oct 11 16:57:49 [9] INFO  - 3/14/2007 12:00:00 AM,-0.00106
2017 Oct 11 16:57:49 [9] INFO  - 3/15/2007 12:00:00 AM,-0.00165
2017 Oct 11 16:57:49 [9] INFO  - 3/16/2007 12:00:00 AM,-0.00331
2017 Oct 11 16:57:49 [9] INFO  - 3/19/2007 12:00:00 AM,-0.00104
